  TCP    0.0.0.0:8000           0.0.0.0:0              LISTENING       19444
  TCP    127.0.0.1:8000         127.0.0.1:49155        ESTABLISHED     19444
  TCP    127.0.0.1:8000         127.0.0.1:49156        ESTABLISHED     19444
  TCP    127.0.0.1:8000         127.0.0.1:49157        ESTABLISHED     19444
  TCP    127.0.0.1:8000         127.0.0.1:65423        TIME_WAIT       0
  TCP    127.0.0.1:49153        127.0.0.1:8000         TIME_WAIT       0
  TCP    127.0.0.1:49155        127.0.0.1:8000         ESTABLISHED     14904
  TCP    127.0.0.1:49156        127.0.0.1:8000         ESTABLISHED     11492
  TCP    127.0.0.1:49157        127.0.0.1:8000         ESTABLISHED     744
  TCP    127.0.0.1:55014        127.0.0.1:8000         TIME_WAIT       0
  TCP    127.0.0.1:55015        127.0.0.1:8000         TIME_WAIT       0
  TCP    127.0.0.1:65313        127.0.0.1:8000         TIME_WAIT       0
  TCP    127.0.0.1:65315        127.0.0.1:8000         TIME_WAIT       0
  TCP    127.0.0.1:65316        127.0.0.1:8000         TIME_WAIT       0
  TCP    127.0.0.1:65317        127.0.0.1:8000         TIME_WAIT       0
  TCP    127.0.0.1:65321        127.0.0.1:8000         TIME_WAIT       0
  TCP    127.0.0.1:65322        127.0.0.1:8000         TIME_WAIT       0
  TCP    127.0.0.1:65323        127.0.0.1:8000         TIME_WAIT       0
  TCP    127.0.0.1:65327        127.0.0.1:8000         TIME_WAIT       0
  TCP    127.0.0.1:65329        127.0.0.1:8000         TIME_WAIT       0
  TCP    127.0.0.1:65330        127.0.0.1:8000         TIME_WAIT       0
  TCP    127.0.0.1:65335        127.0.0.1:8000         TIME_WAIT       0
  TCP    127.0.0.1:65339        127.0.0.1:8000         TIME_WAIT       0
  TCP    127.0.0.1:65340        127.0.0.1:8000         TIME_WAIT       0
  TCP    127.0.0.1:65341        127.0.0.1:8000         TIME_WAIT       0
  TCP    127.0.0.1:65345        127.0.0.1:8000         TIME_WAIT       0
  TCP    127.0.0.1:65346        127.0.0.1:8000         TIME_WAIT       0
  TCP    127.0.0.1:65347        127.0.0.1:8000         TIME_WAIT       0
  TCP    127.0.0.1:65352        127.0.0.1:8000         TIME_WAIT       0
  TCP    127.0.0.1:65355        127.0.0.1:8000         TIME_WAIT       0
  TCP    127.0.0.1:65356        127.0.0.1:8000         TIME_WAIT       0
  TCP    127.0.0.1:65357        127.0.0.1:8000         TIME_WAIT       0
  TCP    127.0.0.1:65361        127.0.0.1:8000         TIME_WAIT       0
  TCP    127.0.0.1:65363        127.0.0.1:8000         TIME_WAIT       0
  TCP    127.0.0.1:65364        127.0.0.1:8000         TIME_WAIT       0
  TCP    127.0.0.1:65370        127.0.0.1:8000         TIME_WAIT       0
  TCP    127.0.0.1:65372        127.0.0.1:8000         TIME_WAIT       0
  TCP    127.0.0.1:65373        127.0.0.1:8000         TIME_WAIT       0
  TCP    127.0.0.1:65375        127.0.0.1:8000         TIME_WAIT       0
  TCP    127.0.0.1:65383        127.0.0.1:8000         TIME_WAIT       0
  TCP    127.0.0.1:65384        127.0.0.1:8000         TIME_WAIT       0
  TCP    127.0.0.1:65385        127.0.0.1:8000         TIME_WAIT       0
  TCP    127.0.0.1:65389        127.0.0.1:8000         TIME_WAIT       0
  TCP    127.0.0.1:65390        127.0.0.1:8000         TIME_WAIT       0
  TCP    127.0.0.1:65392        127.0.0.1:8000         TIME_WAIT       0
  TCP    127.0.0.1:65393        127.0.0.1:8000         TIME_WAIT       0
  TCP    127.0.0.1:65397        127.0.0.1:8000         TIME_WAIT       0
  TCP    127.0.0.1:65398        127.0.0.1:8000         TIME_WAIT       0
  TCP    127.0.0.1:65399        127.0.0.1:8000         TIME_WAIT       0
  TCP    127.0.0.1:65403        127.0.0.1:8000         TIME_WAIT       0
  TCP    127.0.0.1:65404        127.0.0.1:8000         TIME_WAIT       0
  TCP    127.0.0.1:65405        127.0.0.1:8000         TIME_WAIT       0
  TCP    127.0.0.1:65409        127.0.0.1:8000         TIME_WAIT       0
  TCP    127.0.0.1:65411        127.0.0.1:8000         TIME_WAIT       0
  TCP    127.0.0.1:65412        127.0.0.1:8000         TIME_WAIT       0
  TCP    127.0.0.1:65413        127.0.0.1:8000         TIME_WAIT       0
  TCP    127.0.0.1:65417        127.0.0.1:8000         TIME_WAIT       0
  TCP    127.0.0.1:65418        127.0.0.1:8000         TIME_WAIT       0
  TCP    127.0.0.1:65419        127.0.0.1:8000         TIME_WAIT       0
  TCP    127.0.0.1:65426        127.0.0.1:8000         TIME_WAIT       0
  TCP    127.0.0.1:65427        127.0.0.1:8000         TIME_WAIT       0
  TCP    127.0.0.1:65429        127.0.0.1:8000         TIME_WAIT       0
  TCP    127.0.0.1:65433        127.0.0.1:8000         TIME_WAIT       0
  TCP    127.0.0.1:65434        127.0.0.1:8000         TIME_WAIT       0
  TCP    127.0.0.1:65435        127.0.0.1:8000         TIME_WAIT       0
  TCP    127.0.0.1:65439        127.0.0.1:8000         TIME_WAIT       0
  TCP    127.0.0.1:65441        127.0.0.1:8000         TIME_WAIT       0
  TCP    127.0.0.1:65442        127.0.0.1:8000         TIME_WAIT       0
  TCP    127.0.0.1:65443        127.0.0.1:8000         TIME_WAIT       0
  TCP    127.0.0.1:65449        127.0.0.1:8000         TIME_WAIT       0
  TCP    127.0.0.1:65450        127.0.0.1:8000         TIME_WAIT       0
  TCP    127.0.0.1:65451        127.0.0.1:8000         TIME_WAIT       0
  TCP    127.0.0.1:65455        127.0.0.1:8000         TIME_WAIT       0
  TCP    127.0.0.1:65457        127.0.0.1:8000         TIME_WAIT       0
  TCP    127.0.0.1:65458        127.0.0.1:8000         TIME_WAIT       0
  TCP    127.0.0.1:65459        127.0.0.1:8000         TIME_WAIT       0
  TCP    127.0.0.1:65463        127.0.0.1:8000         TIME_WAIT       0
